Domain,Class,Category,Scope,Status,Routing,Intended Use,Product Owner,Holding Entity,Registrar,Renewal Date,TM Priority,TM Status,Patent-Adjacent,Interconnectivity Dependencies,Notes
mcv.homes,Platform,Consumer Real Estate,Retail,Active,TBD,FutureState consumer surface — fractional residential ownership,Tony,FutureState LP,Namecheap,2027-01-15,P1,Not-filed,No,"mcv.realty, mcv.id",Warmer consumer brand vs mcv.realty institutional
mcv.gg,Platform,Gaming Hub + MCV Studios Portal,Universal,Active,TBD,Battle.net-style launcher + MCV Studios portal + game library,Tony + MCV Studios,MCV Studios Entity,Namecheap,2027-01-14,P1,Not-filed,No,"mcv.id, mcv.eco",Hosts Warforge + Pink Slip City + future titles
mcv.cx,Platform,Community + Customer Experience,Universal,Active,TBD,Community hub + MCV NEXUS + cross-venture progression + support,Devon,MCV Holdings Ltd,Namecheap,2027-01-15,P1,Not-filed,No,"mcv.id, mcv.ac",Guilds + progression + social layer
mcv.support,Platform,Support Portal,Universal,Active,TBD,Unified support across all ventures,Devon,MCV Holdings Ltd,Namecheap,2027-01-15,P2,Not-filed,No,mcv.cx,Owned — deploy when volume justifies
mcv.bet,Platform,Consumer Betting Analytics,Retail,Active,TBD,BetEdge AI secondary surface + consumer betting analytics,Tony,BetEdge AI Inc,Namecheap,2027-01-15,P2,Not-filed,No,mcv.id,BetEdge AI brand extension
mcv.store,Platform,Commerce + Merchandise,Universal,Active,TBD,Merchandise + WarForge items marketplace + Citizen creator storefront,TBD,MCV Holdings Ltd,Namecheap,2027-01-15,P2,Not-filed,No,"mcv.id, mcv.eco",Multi-venture commerce surface
mcv.digital,Platform,Agency + White-Label,Institutional,Active,TBD,MCV Digital agency — Full Gain re-brand destination + white-label SaaS,Tony,Full Gain / MCV Digital,Namecheap,2027-01-14,P1,Not-filed,No,mcv.id,Agency work positioned as MCV-family
mcv.holdings,Entity,Holding Co Corporate Face,N/A,Active,TBD,Redirects to mcv.global/corporate/holdings,Tony,MCV Holdings Ltd,Namecheap,2027-01-15,P0,Not-filed,No,N/A,KYC + counsel correspondence
mcv.inc,Entity,US+Canadian Op Entity Face,N/A,Active,TBD,Redirects to mcv.global/corporate/inc,Tony,EdgeIQ Holdings Inc / MCV Inc,Namecheap,2027-01-15,P0,Not-filed,No,N/A,US + Canadian operating presence
mcv.ltd,Entity,International Op Entity Face,N/A,Active,TBD,Redirects to mcv.global/corporate/ltd,Tony,MCV Ireland DAC / MCV Ltd,Namecheap,2027-01-15,P0,Not-filed,No,N/A,International operating presence
mcv.ventures,Entity,Portfolio Landing,N/A,Active,TBD,Redirects to mcv.global/ventures,Tony,MCV Holdings Ltd,Namecheap,2027-01-15,P2,Not-filed,No,N/A,Venture portfolio view
mcv.technology,Defensive,Legacy Tech Alias,Defensive,Active,Redirect to mcv.tech,Redirect only — primary is mcv.tech,Tony,MCV Tech (Ireland DAC),Namecheap,2027-01-14,DNF,Not-filed,No,N/A,Defensive for mcv.tech
mcv.software,Defensive,Software Surface Defensive,Defensive,Active,Redirect to mcv.dev,Redirect to mcv.dev/downloads eventually,Tony,MCV Holdings Ltd,Namecheap,2027-01-15,P3,Not-filed,No,mcv.dev,SDK distribution alias
warforge.gg,Venture,Warforge MMORPG,Universal,Active,TBD,Warforge MMORPG primary domain — MCV Studios flagship title,Tony + MCV Studios,MCV Studios Entity,Namecheap,2027-01-14,P1,Not-filed,No,"mcv.id, mcv.eco, mcv.gg",Runs on MCV economy + identity
edgeiq.app,Venture,EdgeIQ Markets,Retail+Institutional,Active,TBD,EdgeIQ Markets (financial trading analytics) standalone SaaS,Tony,EdgeIQ Holdings Inc,Namecheap,2027-01-14,P0,Not-filed,Yes — ACS,"mcv.id, mcv.eco",Standalone SaaS venture; links to MCV for auth
arqlabs.ca,Venture,ARQ Labs R&D,Institutional,Active,TBD,ARQ Labs — research + IP generation arm,Tony,ARQ Labs Entity,Namecheap,2027-01-14,P1,Not-filed,No,mcv.tech,Feeds patents into mcv.tech
fullgain.ca,Venture,Full Gain Agency,Institutional,Active,TBD,Full Gain Canadian agency ops,Tony,Full Gain Entity,Namecheap,2026-06-07,P2,Not-filed,No,mcv.digital,Under MCV Digital umbrella or standalone legacy
serpspace.com,Venture,SerpSpace SEO Platform,Retail+Institutional,Legacy,TBD,SerpSpace (rebuild) — standalone SaaS,Tony,SerpSpace Entity,Namecheap,2027-01-14,P2,Not-filed,No,mcv.id,Standalone SaaS; MCV auth integrated
mcv.ac,Core,Citizen Account Center — daily-use surface for every user.,Universal,ACQUIRE-PENDING,N/A (acquire from cart),Citizen Account Center — daily-use surface for every user.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P0,Not-filed,No,TBD,C$39.58 sale / C$86.01 list
mcv.eco,Core,Already listed as Core — keep.,Universal,ACQUIRE-PENDING,N/A (acquire from cart),Already listed as Core — keep.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P0,Not-filed,No,TBD,C$64.16 sale / C$99.67 list
mcv.exchange,Platform,Utility token swap venue — distinct from mcv.trade by asset ,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Utility token swap venue — distinct from mcv.trade by asset class.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P0,Not-filed,No,TBD,C$14.31 sale / C$55.97 list
mcv.trade,Platform,Tokenized securities secondary market — distinct from mcv.ex,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Tokenized securities secondary market — distinct from mcv.exchange.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P0,Not-filed,No,TBD,C$955.98 sale / C$955.98 list
mcv.build,Platform,$286 premium but very strategic — build/construction flagshi,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),$286 premium but very strategic — build/construction flagship.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P1,Not-filed,No,TBD,C$286.79 sale / C$286.79 list
mcv.careers,Platform,Talent + recruitment surface — Citizen career progression.,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Talent + recruitment surface — Citizen career progression.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P1,Not-filed,No,TBD,C$39.58 sale / C$103.76 list
mcv.community,Platform,Community surface alternate to mcv.cx — defensive + warmer b,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Community surface alternate to mcv.cx — defensive + warmer brand.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P1,Not-filed,No,TBD,C$65.53 sale / C$65.53 list
mcv.construction,Platform,Construction vertical — FutureState build-out + Cliff Bay-ti,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Construction vertical — FutureState build-out + Cliff Bay-tier.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P1,Not-filed,No,TBD,C$55.97 sale / C$55.97 list
mcv.doctor,Platform,Healthcare vertical — Citizen-OS health surface.,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Healthcare vertical — Citizen-OS health surface.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P1,Not-filed,No,TBD,C$8.17 sale / C$167.95 list
mcv.education,Sacred-Floor,Sacred Floor formal education vertical.,Universal,ACQUIRE-PENDING,N/A (acquire from cart),Sacred Floor formal education vertical.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P1,Not-filed,No,TBD,C$50.50 sale / C$50.50 list
mcv.estate,Platform,FutureState extended brand — institutional estate + commerci,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),FutureState extended brand — institutional estate + commercial RE.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P1,Not-filed,No,TBD,C$17.73 sale / C$55.97 list
mcv.events,Platform,Event hosting + conferences + WarForge tournaments.,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Event hosting + conferences + WarForge tournaments.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P1,Not-filed,No,TBD,C$14.31 sale / C$65.53 list
mcv.fitness,Platform,Fitness vertical complement to mcv.fit — Anytime/Purpose Bra,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Fitness vertical complement to mcv.fit — Anytime/Purpose Brands.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P1,Not-filed,No,TBD,C$6.12 sale / C$60.06 list
mcv.games,Platform,Games developer platform — B2B dev surface complement to mcv,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Games developer platform — B2B dev surface complement to mcv.gg.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P1,Not-filed,No,TBD,C$94.64 sale / C$94.64 list
mcv.investments,Platform,Investment vertical — institutional LP + retail investor por,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Investment vertical — institutional LP + retail investor portal.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P1,Not-filed,No,TBD,C$9.53 sale / C$187.07 list
mcv.land,Platform,FutureState land vertical — undeveloped + commercial land to,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),FutureState land vertical — undeveloped + commercial land tokenization.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P1,Not-filed,No,TBD,C$16.36 sale / C$60.06 list
mcv.law,Platform,Legal services flagship — premium $630 but strategic for leg,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Legal services flagship — premium $630 but strategic for legal vertical.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P1,Not-filed,No,TBD,C$630.95 sale / C$630.95 list
mcv.legal,Platform,Legal vertical — Citizen-OS legal services + counsel marketp,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Legal vertical — Citizen-OS legal services + counsel marketplace.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P1,Not-filed,No,TBD,C$102.40 sale / C$102.40 list
mcv.link,Defensive,$336 premium but strategic — link-shortener for entire ecosy,Defensive,ACQUIRE-PENDING,N/A (acquire from cart),$336 premium but strategic — link-shortener for entire ecosystem.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P1,Not-filed,No,TBD,C$336.98 sale / C$336.98 list
mcv.live,Platform,Live events + streaming + tournaments — gaming + community.,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Live events + streaming + tournaments — gaming + community.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P1,Not-filed,No,TBD,C$94.64 sale / C$94.64 list
mcv.markets,Platform,EdgeIQ Markets primary surface — markets analytics.,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),EdgeIQ Markets primary surface — markets analytics.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P1,Not-filed,No,TBD,C$8.17 sale / C$28.65 list
mcv.media,Platform,Content + journalism + ecosystem media arm.,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Content + journalism + ecosystem media arm.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P1,Not-filed,No,TBD,C$31.55 sale / C$31.55 list
mcv.mortgage,Platform,FutureState financing — mortgage-backed RWA tokenization.,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),FutureState financing — mortgage-backed RWA tokenization.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P1,Not-filed,No,TBD,C$90.11 sale / C$90.11 list
mcv.press,Platform,PR + journalist relations surface — Gary/Joel-tier instituti,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),PR + journalist relations surface — Gary/Joel-tier institutional press.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P1,Not-filed,No,TBD,C$238.99 sale / C$238.99 list
mcv.rentals,Platform,FutureState rental yield surface — RWA passive-income portal,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),FutureState rental yield surface — RWA passive-income portal.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P1,Not-filed,No,TBD,C$9.53 sale / C$64.16 list
mcv.school,Sacred-Floor,Sacred Floor education surface — Garden / Apprentice stages.,Universal,ACQUIRE-PENDING,N/A (acquire from cart),Sacred Floor education surface — Garden / Apprentice stages.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P1,Not-filed,No,TBD,C$94.64 sale / C$94.64 list
mcv.studio,Platform,MCV Studios corporate — game development arm corporate face.,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),MCV Studios corporate — game development arm corporate face.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P1,Not-filed,No,TBD,C$57.36 sale / C$57.36 list
mcv.team,Platform,Internal team surface + contractor onboarding.,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Internal team surface + contractor onboarding.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P1,Not-filed,No,TBD,C$31.55 sale / C$31.55 list
mcv.training,Sacred-Floor,Apprenticeship + skills training across Lineage Arc.,Universal,ACQUIRE-PENDING,N/A (acquire from cart),Apprenticeship + skills training across Lineage Arc.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P1,Not-filed,No,TBD,C$12.26 sale / C$60.06 list
mcv.auction,Sub-Venture,Auction surface — RWA + WarForge marketplace.,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Auction surface — RWA + WarForge marketplace.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$53.23 sale / C$53.23 list
mcv.baby,Sacred-Floor,Sacred Floor Cradle stage — infant-care surface.,Universal,ACQUIRE-PENDING,N/A (acquire from cart),Sacred Floor Cradle stage — infant-care surface.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$2.46 sale / C$88.74 list
mcv.broker,Defensive,Broker-dealer reference + future Dealer of Record entity.,Defensive,ACQUIRE-PENDING,N/A (acquire from cart),Broker-dealer reference + future Dealer of Record entity.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$16.36 sale / C$53.23 list
mcv.builders,Defensive,Defensive for mcv.construction.,Defensive,ACQUIRE-PENDING,N/A (acquire from cart),Defensive for mcv.construction.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$47.77 sale / C$47.77 list
mcv.business,Defensive,B2B surface — multi-venture business gateway.,Defensive,ACQUIRE-PENDING,N/A (acquire from cart),B2B surface — multi-venture business gateway.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$24.86 sale / C$24.86 list
mcv.cards,Sub-Venture,"Citizen-card products — gift, loyalty, credit cards.",Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),"Citizen-card products — gift, loyalty, credit cards.",Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$55.97 sale / C$55.97 list
mcv.center,Sacred-Floor,Sacred Floor Garden Houses physical-locator (already listed ,Universal,ACQUIRE-PENDING,N/A (acquire from cart),Sacred Floor Garden Houses physical-locator (already listed above — keeping).,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$6.80 sale / C$47.77 list
mcv.chat,Sub-Venture,Citizen-to-Citizen messaging surface.,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Citizen-to-Citizen messaging surface.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$31.55 sale / C$31.55 list
mcv.claims,Sub-Venture,Insurance claims surface under mcv.insure.,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Insurance claims surface under mcv.insure.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$16.36 sale / C$94.20 list
mcv.condos,Sub-Venture,Cliff Bay + condo-specific RWA tokenization (Milborne fit).,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Cliff Bay + condo-specific RWA tokenization (Milborne fit).,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$84.65 sale / C$84.65 list
mcv.contractors,Defensive,Contractor marketplace under mcv.construction.,Defensive,ACQUIRE-PENDING,N/A (acquire from cart),Contractor marketplace under mcv.construction.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$50.50 sale / C$50.50 list
mcv.credit,Sub-Venture,Credit-product surface — lending + Citizen credit profile.,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Credit-product surface — lending + Citizen credit profile.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$12.95 sale / C$150.20 list
mcv.dental,Sub-Venture,Dental sub-vertical under mcv.doctor.,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Dental sub-vertical under mcv.doctor.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$111.96 sale / C$111.96 list
mcv.directory,Defensive,Citizen directory + Confluence/Weave registry.,Defensive,ACQUIRE-PENDING,N/A (acquire from cart),Citizen directory + Confluence/Weave registry.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$6.80 sale / C$39.58 list
mcv.energy,Platform,Energy vertical — RWA tokenization for energy assets.,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Energy vertical — RWA tokenization for energy assets.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$15.00 sale / C$167.95 list
mcv.engineering,Defensive,Engineering arm — ARQ Labs adjacent.,Defensive,ACQUIRE-PENDING,N/A (acquire from cart),Engineering arm — ARQ Labs adjacent.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$14.31 sale / C$94.20 list
mcv.financial,Defensive,Defensive for mcv.finance — alternate spelling.,Defensive,ACQUIRE-PENDING,N/A (acquire from cart),Defensive for mcv.finance — alternate spelling.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$23.87 sale / C$84.65 list
mcv.gallery,Sub-Venture,NFT + creator gallery surface.,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),NFT + creator gallery surface.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$40.94 sale / C$40.94 list
mcv.gift,Sub-Venture,Citizen-gifting + UWG-funded gift mechanism.,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Citizen-gifting + UWG-funded gift mechanism.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$229.43 sale / C$229.43 list
mcv.guide,Sacred-Floor,Mentor + apprentice matching — Confluence-adjacent (renamed ,Universal,ACQUIRE-PENDING,N/A (acquire from cart),Mentor + apprentice matching — Confluence-adjacent (renamed Weave).,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$59.38 sale / C$59.38 list
mcv.haus,Defensive,Already listed — German real estate.,Defensive,ACQUIRE-PENDING,N/A (acquire from cart),Already listed — German real estate.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$16.36 sale / C$49.14 list
mcv.house,Defensive,Family unit surface — Sacred Floor family-as-constitutional-,Defensive,ACQUIRE-PENDING,N/A (acquire from cart),Family unit surface — Sacred Floor family-as-constitutional-structure.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$17.73 sale / C$64.16 list
mcv.immo,Defensive,European real estate (immobilier) — defensive for EU launch.,Defensive,ACQUIRE-PENDING,N/A (acquire from cart),European real estate (immobilier) — defensive for EU launch.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$50.50 sale / C$50.50 list
mcv.institute,Sacred-Floor,Research + advanced study — Council-tier learning surface.,Universal,ACQUIRE-PENDING,N/A (acquire from cart),Research + advanced study — Council-tier learning surface.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$8.17 sale / C$39.58 list
mcv.insure,Sub-Venture,Insurance vertical — Triangle-anchored Citizen insurance pro,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Insurance vertical — Triangle-anchored Citizen insurance products.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$105.13 sale / C$105.13 list
mcv.international,Defensive,Cross-border + multi-jurisdiction landing.,Defensive,ACQUIRE-PENDING,N/A (acquire from cart),Cross-border + multi-jurisdiction landing.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$12.95 sale / C$44.36 list
mcv.irish,Defensive,Ireland market — MCV Tech (DAC) is Irish entity.,Defensive,ACQUIRE-PENDING,N/A (acquire from cart),Ireland market — MCV Tech (DAC) is Irish entity.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$8.17 sale / C$31.38 list
mcv.is,Defensive,Iceland ccTLD — short-link surface defensive.,Defensive,ACQUIRE-PENDING,N/A (acquire from cart),Iceland ccTLD — short-link surface defensive.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$91.47 sale / C$91.47 list
mcv.lawyer,Platform,Legal services Citizen surface — complement to mcv.law.,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Legal services Citizen surface — complement to mcv.law.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$90.11 sale / C$90.11 list
mcv.lease,Sub-Venture,Commercial lease + FutureState commercial RE.,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Commercial lease + FutureState commercial RE.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$80.55 sale / C$80.55 list
mcv.life,Platform,Citizen-life umbrella — Lineage Arc public surface.,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Citizen-life umbrella — Lineage Arc public surface.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$3.39 sale / C$52.55 list
mcv.maison,Defensive,Already listed — French real estate.,Defensive,ACQUIRE-PENDING,N/A (acquire from cart),Already listed — French real estate.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$83.28 sale / C$83.28 list
mcv.management,Defensive,Asset management defensive — fund admin + portfolio manageme,Defensive,ACQUIRE-PENDING,N/A (acquire from cart),Asset management defensive — fund admin + portfolio management.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$36.85 sale / C$36.85 list
mcv.money,Defensive,Consumer money brand — defensive for retail finance.,Defensive,ACQUIRE-PENDING,N/A (acquire from cart),Consumer money brand — defensive for retail finance.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$16.36 sale / C$47.77 list
mcv.observer,Sub-Venture,Audit/transparency news arm — supports tamper-evident audit ,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Audit/transparency news arm — supports tamper-evident audit narrative.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$19.12 sale / C$19.12 list
mcv.partners,Defensive,Strategic partnerships surface — institutional partner porta,Defensive,ACQUIRE-PENDING,N/A (acquire from cart),Strategic partnerships surface — institutional partner portal.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$14.31 sale / C$102.40 list
mcv.plus,Defensive,Premium-tier defensive (subscription tiering surface).,Defensive,ACQUIRE-PENDING,N/A (acquire from cart),Premium-tier defensive (subscription tiering surface).,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$6.80 sale / C$79.18 list
mcv.report,Sub-Venture,Investigative reporting + ecosystem audit reports.,Retail+Institutional,ACQUIRE-PENDING,N/A (acquire from cart),Investigative reporting + ecosystem audit reports.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$9.53 sale / C$36.16 list
mcv.reviews,Defensive,Citizen reviews + reputation surface (per Hidden Reputation ,Defensive,ACQUIRE-PENDING,N/A (acquire from cart),Citizen reviews + reputation surface (per Hidden Reputation Layer).,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$90.11 sale / C$90.11 list
mcv.sh,Defensive,Saint Helena ccTLD — short-link defensive.,Defensive,ACQUIRE-PENDING,N/A (acquire from cart),Saint Helena ccTLD — short-link defensive.,Tony,TBD (depends on function),Namecheap,N/A (not yet purchased),P2,Not-filed,No,TBD,C$47.77 sale / C$86.01 list
