#,Domain,List Price CAD,Sale Price CAD,Savings,Decision,Class,Priority,Rationale,Fits a Class?,Needed <24mo?,Hard to Re-Acquire?
74,mcv.energy,167.95,15.00,152.95,ACQUIRE,Platform,P2,Energy vertical — RWA tokenization for energy assets.,Yes,Maybe,Yes
106,mcv.engineering,94.20,14.31,79.89,ACQUIRE,Defensive,P2,Engineering arm — ARQ Labs adjacent.,Yes,Maybe,Yes
58,mcv.financial,84.65,23.87,60.78,ACQUIRE,Defensive,P2,Defensive for mcv.finance — alternate spelling.,Yes,Maybe,Yes
107,mcv.gallery,40.94,40.94,,ACQUIRE,Sub-Venture,P2,NFT + creator gallery surface.,Yes,Maybe,Yes
136,mcv.gift,229.43,229.43,,ACQUIRE,Sub-Venture,P2,Citizen-gifting + UWG-funded gift mechanism.,Yes,Maybe,Yes
87,mcv.guide,59.38,59.38,,ACQUIRE,Sacred-Floor,P2,Mentor + apprentice matching — Confluence-adjacent (renamed Weave).,Yes,Maybe,Yes
166,mcv.haus,49.14,16.36,32.78,ACQUIRE,Defensive,P2,Already listed — German real estate.,Yes,Maybe,Yes
82,mcv.house,64.16,17.73,46.43,ACQUIRE,Defensive,P2,Family unit surface — Sacred Floor family-as-constitutional-structure.,Yes,Maybe,Yes
134,mcv.immo,50.50,50.50,,ACQUIRE,Defensive,P2,European real estate (immobilier) — defensive for EU launch.,Yes,Maybe,Yes
158,mcv.institute,39.58,8.17,31.41,ACQUIRE,Sacred-Floor,P2,Research + advanced study — Council-tier learning surface.,Yes,Maybe,Yes
19,mcv.insure,105.13,105.13,,ACQUIRE,Sub-Venture,P2,Insurance vertical — Triangle-anchored Citizen insurance products.,Yes,Maybe,Yes
143,mcv.international,44.36,12.95,31.41,ACQUIRE,Defensive,P2,Cross-border + multi-jurisdiction landing.,Yes,Maybe,Yes
130,mcv.irish,31.38,8.17,23.21,ACQUIRE,Defensive,P2,Ireland market — MCV Tech (DAC) is Irish entity.,Yes,Maybe,Yes
116,mcv.is,91.47,91.47,,ACQUIRE,Defensive,P2,Iceland ccTLD — short-link surface defensive.,Yes,Maybe,Yes
139,mcv.lawyer,90.11,90.11,,ACQUIRE,Platform,P2,Legal services Citizen surface — complement to mcv.law.,Yes,Maybe,Yes
50,mcv.lease,80.55,80.55,,ACQUIRE,Sub-Venture,P2,Commercial lease + FutureState commercial RE.,Yes,Maybe,Yes
135,mcv.life,52.55,3.39,49.16,ACQUIRE,Platform,P2,Citizen-life umbrella — Lineage Arc public surface.,Yes,Maybe,Yes
175,mcv.maison,83.28,83.28,,ACQUIRE,Defensive,P2,Already listed — French real estate.,Yes,Maybe,Yes
53,mcv.management,36.85,36.85,,ACQUIRE,Defensive,P2,Asset management defensive — fund admin + portfolio management.,Yes,Maybe,Yes
28,mcv.money,47.77,16.36,31.41,ACQUIRE,Defensive,P2,Consumer money brand — defensive for retail finance.,Yes,Maybe,Yes
148,mcv.observer,19.12,19.12,,ACQUIRE,Sub-Venture,P2,Audit/transparency news arm — supports tamper-evident audit narrative.,Yes,Maybe,Yes
52,mcv.partners,102.40,14.31,88.09,ACQUIRE,Defensive,P2,Strategic partnerships surface — institutional partner portal.,Yes,Maybe,Yes
100,mcv.plus,79.18,6.80,72.38,ACQUIRE,Defensive,P2,Premium-tier defensive (subscription tiering surface).,Yes,Maybe,Yes
164,mcv.report,36.16,9.53,26.63,ACQUIRE,Sub-Venture,P2,Investigative reporting + ecosystem audit reports.,Yes,Maybe,Yes
98,mcv.reviews,90.11,90.11,,ACQUIRE,Defensive,P2,Citizen reviews + reputation surface (per Hidden Reputation Layer).,Yes,Maybe,Yes
157,mcv.sh,86.01,47.77,38.24,ACQUIRE,Defensive,P2,Saint Helena ccTLD — short-link defensive.,Yes,Maybe,Yes
93,mcv.shopping,40.94,40.94,,ACQUIRE,Sub-Venture,P2,Consumer shopping under mcv.store umbrella.,Yes,Maybe,Yes
218,mcv.so,88.74,88.74,,ACQUIRE,Defensive,P2,Short ccTLD — link-shortener defensive.,Yes,Maybe,Yes
167,mcv.tickets,585.85,538.05,47.80,ACQUIRE,Platform,P2,Event ticketing — WarForge tournaments + mcv.events integration.,Yes,Maybe,Yes
67,mcv.tools,52.55,21.82,30.73,ACQUIRE,Sub-Venture,P2,Developer tools + Citizen utilities.,Yes,Maybe,Yes
111,mcv.university,90.11,90.11,,ACQUIRE,Sacred-Floor,P2,Mastery-tier learning — adult continuing-education complement.,Yes,Maybe,Yes
112,mcv.vet,60.06,60.06,,ACQUIRE,Sub-Venture,P2,Veterinary care + Citizen-pet OS.,Yes,Maybe,Yes
85,mcv.video,63.09,63.09,,ACQUIRE,Sub-Venture,P2,Already listed — keep.,Yes,Maybe,Yes
155,mcv.villas,86.01,86.01,,ACQUIRE,Sub-Venture,P2,Premium residential — Cliff Bay tier + Muskoka resort.,Yes,Maybe,Yes
147,mcv.yoga,76.48,76.48,,ACQUIRE,Platform,P2,Wellness sub-vertical under mcv.fit umbrella.,Yes,Maybe,Yes
55,mcv.enterprises,47.77,12.95,34.82,ACQUIRE,Defensive,P3,Defensive corporate variant — low priority.,Yes,No,Yes
66,mcv.forsale,52.55,16.36,36.19,ACQUIRE,Defensive,P3,Defensive for marketplace surfaces.,Yes,No,Yes
145,mcv.gifts,52.55,52.55,,ACQUIRE,Defensive,P3,Plural defensive for mcv.gift.,Yes,No,Yes
180,mcv.immobilien,54.60,54.60,,ACQUIRE,Defensive,P3,Long-form German RE — defer or kill if budget-constrained.,Yes,No,Yes
75,mcv.solutions,45.04,12.26,32.78,ACQUIRE,Defensive,P3,Generic B2B surface — defensive only.,Yes,No,Yes
41,mcv.actor,64.16,16.36,47.80,DEFER,Sub-Venture,P3,Actor talent vertical — defer.,Yes,No,Maybe
161,mcv.bargains,40.94,20.46,20.48,DEFER,Defensive,P3,"Discount commerce — low-strategic-fit, defer.",Yes,No,Maybe
199,mcv.beauty,27.29,2.46,24.83,DEFER,Sub-Venture,P3,Beauty vertical — defer.,Yes,No,Maybe
124,mcv.best,27.29,3.11,24.18,DEFER,Defensive,P3,Generic — defer.,Yes,No,Maybe
183,mcv.bike,54.60,8.17,46.43,DEFER,Sub-Venture,P3,Mobility specialty — defer.,Yes,No,Maybe
146,mcv.bingo,70.99,70.99,,DEFER,Sub-Venture,P3,Gambling-adjacent — defer.,Yes,No,Maybe
32,mcv.boats,27.29,2.46,24.83,DEFER,Sub-Venture,P3,Marine vertical — defer.,Yes,No,Maybe
162,mcv.boutique,43.67,3.39,40.28,DEFER,Sub-Venture,P3,Niche commerce — defer.,Yes,No,Maybe
132,mcv.camera,84.65,84.65,,DEFER,Defensive,P3,Hardware/photography defensive — defer.,Yes,No,Maybe
127,mcv.camp,90.11,90.11,,DEFER,Sub-Venture,P3,Camping/outdoor — defer.,Yes,No,Maybe
197,mcv.catering,55.97,55.97,,DEFER,Sub-Venture,P3,Catering services — defer.,Yes,No,Maybe
181,mcv.cfd,123.32,123.32,,DEFER,Sub-Venture,P3,CFD trading — already listed.,Yes,No,Yes
160,mcv.cleaning,109.23,109.23,,DEFER,Sub-Venture,P3,Cleaning services vertical — defer.,Yes,No,Yes
177,mcv.college,86.01,6.83,79.18,DEFER,Sub-Venture,P3,Education sub-vertical — defer.,Yes,No,Maybe
163,mcv.computer,57.33,23.87,33.46,DEFER,Defensive,P3,Hardware/computing defensive — defer.,Yes,No,Maybe
196,mcv.cooking,76.48,76.48,,DEFER,Sub-Venture,P3,Culinary vertical — defer.,Yes,No,Maybe
149,mcv.creditcard,214.39,214.39,,DEFER,Sub-Venture,P3,Credit card vertical — defer.,Yes,No,Yes
96,mcv.dance,39.58,14.31,25.27,DEFER,Sub-Venture,P3,Performance arts — defer.,Yes,No,Maybe
194,mcv.degree,75.09,75.09,,DEFER,Sub-Venture,P3,Credential vertical — defer.,Yes,No,Maybe
24,mcv.delivery,90.11,4.07,86.04,DEFER,Sub-Venture,P3,Logistics vertical — defer.,Yes,No,Maybe
178,mcv.dentist,189.28,189.28,,DEFER,Defensive,P3,Defensive for mcv.dental.,Yes,No,Yes
172,mcv.desi,27.29,27.29,,DEFER,Defensive,P3,Indian/South Asian community — defer until APAC-S federation launch.,Yes,No,Maybe
115,mcv.diamonds,79.18,79.18,,DEFER,Sub-Venture,P3,Luxury commerce — defer.,Yes,No,Maybe
195,mcv.discount,40.94,40.94,,DEFER,Defensive,P3,Discount commerce — defer.,Yes,No,Maybe
129,mcv.engineer,55.97,55.97,,DEFER,Defensive,P3,Singular variant — defer.,Yes,No,Maybe
142,mcv.equipment,40.94,40.94,,DEFER,Defensive,P3,Generic equipment — defer.,Yes,No,Maybe
151,mcv.express,63.09,63.09,,DEFER,Defensive,P3,Defensive only — defer.,Yes,No,Maybe
215,mcv.fan,79.18,79.18,,DEFER,Defensive,P3,Fan community defensive — defer.,Yes,No,Maybe
209,mcv.fans,573.59,573.59,,DEFER,Defensive,P3,Plural defensive for mcv.fan.,Yes,No,Yes
37,mcv.farm,55.97,6.80,49.17,DEFER,Sub-Venture,P3,Agriculture vertical — defer.,Yes,No,Maybe
105,mcv.fashion,76.48,76.48,,DEFER,Sub-Venture,P3,Fashion vertical — defer.,Yes,No,Maybe
44,mcv.fit,764.78,764.78,,DEFER,Sub-Venture,P3,Not yet classified — review needed.,Yes,No,Yes
156,mcv.football,36.85,36.85,,DEFER,Sub-Venture,P3,Sports vertical under mcv.bet/BetEdge AI.,Yes,No,Maybe
152,mcv.fyi,28.68,28.68,,DEFER,Defensive,P3,Modern TLD defensive — defer.,Yes,No,Maybe
133,mcv.garden,46.41,2.70,43.71,DEFER,Sub-Venture,P3,Sacred Floor Garden adjacency but speculative — defer.,Yes,No,Maybe
212,mcv.gives,38.21,10.22,27.99,DEFER,Defensive,P3,Charity vertical — defer until philanthropy arm.,Yes,No,Maybe
193,mcv.golf,92.84,8.17,84.67,DEFER,Sub-Venture,P3,Sports specialty + premium ABCC angle.,Yes,No,Maybe
140,mcv.graphics,31.38,31.38,,DEFER,Defensive,P3,Creative vertical defensive — defer.,Yes,No,Maybe
109,mcv.green,116.06,16.36,99.70,DEFER,Defensive,P3,Sustainability defensive — defer.,Yes,No,Maybe
211,mcv.hair,27.29,2.46,24.83,DEFER,Sub-Venture,P3,Beauty sub-vertical — defer.,Yes,No,Maybe
216,mcv.hockey,86.01,86.01,,DEFER,Sub-Venture,P3,Sports vertical defensive.,Yes,No,Maybe
128,mcv.how,42.31,42.31,,DEFER,Defensive,P3,Generic verb — defer.,Yes,No,Maybe
187,mcv.industries,65.53,65.53,,DEFER,Defensive,P3,Already listed.,Yes,No,Maybe
97,mcv.jewelry,92.84,92.84,,DEFER,Sub-Venture,P3,Luxury commerce — defer.,Yes,No,Maybe
192,mcv.juegos,503.91,503.91,,DEFER,Defensive,P3,Spanish gaming — defer until LATAM launch.,Yes,No,Yes
21,mcv.kitchen,92.84,12.26,80.58,DEFER,Sub-Venture,P3,Kitchen vertical — defer.,Yes,No,Maybe
123,mcv.lighting,31.38,31.38,,DEFER,Sub-Venture,P3,Specialty trade — defer.,Yes,No,Maybe
56,mcv.limited,51.87,51.87,,DEFER,Defensive,P3,Defensive corporate variant — defer.,Yes,No,Maybe
189,mcv.makeup,27.29,2.46,24.83,DEFER,Sub-Venture,P3,Beauty sub-vertical — defer.,Yes,No,Maybe
33,mcv.marketing,60.06,9.53,50.53,DEFER,Sub-Venture,P3,Not yet classified — review needed.,Yes,No,Maybe
184,mcv.mba,55.97,16.36,39.61,DEFER,Sub-Venture,P3,Business education credential — defer.,Yes,No,Maybe
68,mcv.motorcycles,27.29,2.46,24.83,DEFER,Sub-Venture,P3,Mobility specialty — defer.,Yes,No,Maybe
30,mcv.parts,60.06,14.31,45.75,DEFER,Defensive,P3,Parts vertical — defer.,Yes,No,Maybe
81,mcv.photography,52.55,9.53,43.02,DEFER,Sub-Venture,P3,Specialty creator vertical — defer.,Yes,No,Maybe
103,mcv.photos,43.67,12.26,31.41,DEFER,Defensive,P3,Plural defensive for photography.,Yes,No,Maybe
18,mcv.pics,55.97,2.46,53.51,DEFER,Defensive,P3,Defensive for photo content.,Yes,No,Maybe
159,mcv.pictures,24.86,24.86,,DEFER,Defensive,P3,Defensive — defer.,Yes,No,Maybe
191,mcv.place,31.38,31.38,,DEFER,Defensive,P3,Generic — defer.,Yes,No,Maybe
170,mcv.plumbing,105.13,105.13,,DEFER,Sub-Venture,P3,Trade-specific — defer.,Yes,No,Yes
13,mcv.poker,98.30,8.17,90.13,DEFER,Sub-Venture,P3,Gaming-adjacent — defer until gambling regulatory clear.,Yes,No,Maybe
23,mcv.productions,58.70,8.85,49.85,DEFER,Sub-Venture,P3,MCV Studios production arm — defer.,Yes,No,Maybe
131,mcv.promo,36.16,16.36,19.80,DEFER,Sub-Venture,P3,Not yet classified — review needed.,Yes,No,Maybe
12,mcv.quest,27.29,2.46,24.83,DEFER,Sub-Venture,P3,Not yet classified — review needed.,Yes,No,Maybe
205,mcv.rehab,52.55,52.55,,DEFER,Sub-Venture,P3,Healthcare specialty — defer.,Yes,No,Maybe
173,mcv.repair,52.55,8.17,44.38,DEFER,Sub-Venture,P3,Citizen repair services — defer.,Yes,No,Maybe
14,mcv.run,19.12,19.12,,DEFER,Defensive,P3,Generic verb — defer.,Yes,No,Maybe
203,mcv.shiksha,75.09,16.36,58.73,DEFER,Defensive,P3,Indian education — defer.,Yes,No,Maybe
113,mcv.show,60.06,21.82,38.24,DEFER,Sub-Venture,P3,Streaming entertainment — defer.,Yes,No,Maybe
202,mcv.soccer,37.53,37.53,,DEFER,Sub-Venture,P3,Sports vertical defensive.,Yes,No,Maybe
35,mcv.social,60.06,5.44,54.62,DEFER,Sub-Venture,P3,Not yet classified — review needed.,Yes,No,Maybe
122,mcv.style,63.09,63.09,,DEFER,Sub-Venture,P3,Fashion/lifestyle — defer.,Yes,No,Maybe
204,mcv.supplies,34.80,34.80,,DEFER,Defensive,P3,Plural defensive — defer.,Yes,No,Maybe
25,mcv.supply,37.53,37.53,,DEFER,Defensive,P3,Supply-chain defensive — defer.,Yes,No,Maybe
22,mcv.taxi,90.11,12.26,77.85,DEFER,Sub-Venture,P3,Mobility — already listed.,Yes,No,Maybe
165,mcv.theater,92.84,92.84,,DEFER,Sub-Venture,P3,Performance arts venue surface — defer.,Yes,No,Maybe
101,mcv.tips,45.72,17.73,27.99,DEFER,Defensive,P3,Tips + advice surface — defer.,Yes,No,Maybe
84,mcv.today,40.94,4.07,36.87,DEFER,Defensive,P3,News-day defensive — defer.,Yes,No,Maybe
31,mcv.toys,93.52,16.36,77.16,DEFER,Sub-Venture,P3,Sacred Floor adjacency — defer.,Yes,No,Maybe
3,mcv.vote,131.08,32.75,98.33,DEFER,Sub-Venture,P3,Not yet classified — review needed.,Yes,No,Maybe
34,mcv.watch,60.06,4.75,55.31,DEFER,Sub-Venture,P3,Luxury commerce — defer.,Yes,No,Maybe
88,mcv.works,55.97,5.44,50.53,DEFER,Defensive,P3,Plural variant — defer.,Yes,No,Maybe
69,mcv.yachts,27.29,2.46,24.83,DEFER,Sub-Venture,P3,Premium marine — defer.,Yes,No,Maybe
171,mcv.IDN,20.46,20.46,,KILL,DNF,DNF,Chinese .机构 IDN — defer until China federation real.,No,No,Maybe
42,mcv.adult,176.15,19.09,157.06,KILL,DNF,DNF,Adult content — institutional-brand kill.,No,No,Maybe
43,mcv.army,57.33,18.41,38.92,KILL,DNF,DNF,"Military niche, brand-unclear.",No,No,Maybe
2,mcv.art,521.96,521.96,,KILL,DNF,DNF,$521 premium. mcv.gallery + mcv.studio cover.,No,No,Yes
144,mcv.barcelona,53.23,53.23,,KILL,DNF,DNF,City-specific. Spain not on roadmap.,No,No,Maybe
4,mcv.bid,955.98,955.98,,KILL,DNF,DNF,$955 premium. mcv.auction covers.,No,No,Yes
176,mcv.bond,140.53,140.53,,KILL,DNF,DNF,$140 for ambiguous brand. Pass.,No,No,Yes
190,mcv.cab,46.41,46.41,,KILL,DNF,DNF,Mobility duplicate. Pass.,No,No,Maybe
46,mcv.cars,3138.34,2826.97,311.37,KILL,DNF,DNF,$2826 premium. Pink Slip City covers automotive narrative. Pass.,No,No,Yes
185,mcv.cheap,52.55,8.17,44.38,KILL,DNF,DNF,Brand-dilutive. Cheap branding hurts MCV institutional posture.,No,No,Maybe
92,mcv.church,84.65,16.36,68.29,KILL,DNF,DNF,Religious-specific brand. Conflicts with secular Sacred Floor framing.,No,No,Maybe
126,mcv.cloud,955.98,955.98,,KILL,DNF,DNF,$955 premium. mcv.dev + mcv.tech cover infra brand needs.,No,No,Yes
119,mcv.country,3138.34,3138.34,,KILL,DNF,DNF,$3138 premium. No clear ecosystem fit.,No,No,Yes
138,mcv.courses,955.98,955.98,,KILL,DNF,DNF,$955 premium. mcv.education covers.,No,No,Yes
114,mcv.day,112.81,112.81,,KILL,DNF,DNF,$112 premium for generic.,No,No,Yes
206,mcv.dealer,2865.20,680.11,2185.09,KILL,DNF,DNF,Already killed above.,No,No,Yes
208,mcv.diy,334.59,334.59,,KILL,DNF,DNF,$334 premium for niche.,No,No,Yes
118,mcv.download,955.98,955.98,,KILL,DNF,DNF,$955 premium. mcv.dev/downloads covers.,No,No,Yes
137,mcv.fail,55.97,55.97,,KILL,DNF,DNF,Brand-negative. Do not acquire.,No,No,Maybe
108,mcv.fast,955.98,955.98,,KILL,DNF,DNF,$955 premium. No clear ecosystem fit.,No,No,Yes
141,mcv.feedback,764.78,764.78,,KILL,DNF,DNF,$764 premium for low-strategic-fit. Use mcv.cx feedback instead.,No,No,Yes
186,mcv.florist,43.67,43.67,,KILL,DNF,DNF,Specialty retail. Pass.,No,No,Maybe
39,mcv.fm,136.54,95.57,40.97,KILL,DNF,DNF,$95 sale for niche TLD. Skip.,No,No,Maybe
54,mcv.gmbh,65.53,65.53,,KILL,DNF,DNF,German LLC suffix — too jurisdiction-specific.,No,No,Maybe
188,mcv.guitars,176.15,148.83,27.32,KILL,DNF,DNF,$148 for niche specialty. Pass.,No,No,Yes
182,mcv.hiphop,955.98,955.98,,KILL,DNF,DNF,Genre-specific. No fit.,No,No,Yes
207,mcv.hosting,503.91,424.70,79.21,KILL,DNF,DNF,$424 premium for low-strategic-fit. mcv.dev covers.,No,No,Yes
210,mcv.limo,79.18,79.18,,KILL,DNF,DNF,"Niche-luxury, low-fit.",No,No,Maybe
201,mcv.meme,172.08,172.08,,KILL,DNF,DNF,$172 for cultural niche. Pass.,No,No,Yes
154,mcv.mobi,75.09,6.12,68.97,KILL,DNF,DNF,Dead TLD. Skip.,No,No,Maybe
153,mcv.mobile,573.59,573.59,,KILL,DNF,DNF,$573 premium. Generic.,No,No,Yes
200,mcv.moda,60.06,60.06,,KILL,DNF,DNF,Italian fashion — niche.,No,No,Maybe
89,mcv.movie,505.28,55.97,449.31,KILL,DNF,DNF,$55 sale OK but niche; defer if want.,No,No,Maybe
214,mcv.ong,25.92,25.92,,KILL,DNF,DNF,NGO-specific TLD. No fit.,No,No,Maybe
120,mcv.onl,32.75,5.44,27.31,KILL,DNF,DNF,Low-trust TLD. Pass.,No,No,Maybe
79,mcv.porn,176.15,19.09,157.06,KILL,DNF,DNF,Adult content — institutional-brand kill.,No,No,Maybe
77,mcv.pro,382.39,382.39,,KILL,DNF,DNF,$382 premium for generic word.,No,No,Yes
110,mcv.pw,191.20,191.20,,KILL,DNF,DNF,$191 for low-trust TLD. Pass.,No,No,Yes
99,mcv.sbs,105.16,105.16,,KILL,DNF,DNF,$105 for low-trust TLD. Pass.,No,No,Yes
198,mcv.schule,40.94,40.94,,KILL,DNF,DNF,German-only school TLD. mcv.school + mcv.education cover.,No,No,Maybe
78,mcv.sex,176.15,19.09,157.06,KILL,DNF,DNF,Adult content — institutional-brand kill.,No,No,Maybe
104,mcv.shoes,92.84,47.77,45.07,KILL,DNF,DNF,"$47 sale, low-fit. Pass.",No,No,Maybe
72,mcv.shop,3823.91,3823.91,,KILL,DNF,DNF,$3823 premium. mcv.store covers.,No,No,Yes
169,mcv.study,955.98,955.98,,KILL,DNF,DNF,$955 premium. mcv.education + mcv.school cover.,No,No,Yes
168,mcv.surf,76.48,76.48,,KILL,DNF,DNF,"Lifestyle niche, no fit.",No,No,Maybe
117,mcv.talk,955.98,955.98,,KILL,DNF,DNF,$955 premium. mcv.chat covers.,No,No,Yes
217,mcv.tattoo,191.20,191.20,,KILL,DNF,DNF,$191 for low-fit specialty. Pass.,No,No,Yes
174,mcv.tel,955.98,955.98,,KILL,DNF,DNF,$955 premium. Niche TLD.,No,No,Yes
179,mcv.theatre,818.02,736.08,81.94,KILL,DNF,DNF,Premium price ($736 sale) for spelling variant of mcv.theater. Pass.,No,No,Yes
150,mcv.tires,120.15,120.15,,KILL,DNF,DNF,$120 for low-strategic-fit. Pass.,No,No,Yes
73,mcv.vip,9559.79,9559.79,,KILL,DNF,DNF,$9559 premium. Not worth ecosystem-relative value.,No,No,Yes
27,mcv.work,477.99,477.99,,KILL,DNF,DNF,$478 premium. Use mcv.team or mcv.careers instead.,No,No,Yes
125,mcv.you,955.98,955.98,,KILL,DNF,DNF,$955 premium. No fit.,No,No,Yes
